LOC,CyclomaticComplexity,Methods,Classes,CBO,LCOM,DIT,RFC,NOC,WMC,CommentRatio,MaintainabilityIndex,Quality
300,41,7,2,9,100,8,13,9,47,0.37,28,2
624,21,48,14,5,25,3,143,5,68,0.25,64,0
356,17,59,16,9,95,6,34,7,10,0.07,48,2
833,36,24,3,12,1,5,142,1,59,0.18,53,0
556,38,25,12,3,86,4,125,0,80,0.44,45,2
691,40,15,3,20,59,5,171,6,15,0.07,20,2
643,32,8,4,7,68,3,104,7,48,0.34,52,0
878,38,48,5,13,83,2,130,9,53,0.47,36,2
87,45,24,7,14,56,4,97,1,88,0.18,23,2
754,4,26,9,6,15,8,28,10,28,0.32,96,1
63,4,51,11,7,16,4,22,8,27,0.29,88,1
692,50,10,20,0,35,3,38,8,33,0.4,51,0
72,9,1,12,7,75,6,9,2,34,0.03,60,0
1097,8,48,3,15,57,6,136,9,14,0.23,64,0
108,47,51,17,9,58,1,20,7,52,0.21,26,2
1024,46,59,15,2,10,6,160,2,9,0.06,58,0
1143,46,21,13,19,67,5,121,8,78,0.22,8,2
1149,47,56,7,13,57,4,110,5,59,0.2,20,2
660,28,21,9,11,19,8,22,1,11,0.05,52,0
783,9,36,2,18,71,6,176,1,53,0.18,54,0
886,47,4,10,19,39,6,31,9,65,0.11,21,2
1007,15,55,4,11,71,6,34,4,74,0.11,46,2
1168,50,53,20,19,86,1,160,10,89,0.13,5,2
579,45,49,10,10,44,1,51,2,73,0.33,31,2
310,48,41,1,2,95,4,101,6,59,0.17,25,2
658,47,21,19,19,10,1,44,2,97,0.31,30,2
187,18,29,14,15,77,8,111,4,28,0.38,52,0
726,28,8,10,18,62,5,16,3,51,0.49,42,2
35,14,20,7,4,97,5,79,5,16,0.0,56,0
379,9,25,18,7,64,6,23,6,95,0.02,44,2
961,5,56,11,18,54,7,186,10,54,0.14,56,0
62,21,11,20,14,88,6,27,6,14,0.12,48,2
840,34,6,13,9,95,6,61,5,100,0.08,21,2
253,34,33,7,11,44,3,65,1,19,0.13,43,2
333,49,49,3,5,98,8,123,9,98,0.29,22,2
1176,42,41,20,10,80,6,43,7,9,0.23,42,2
640,18,38,2,11,64,2,84,7,58,0.02,43,2
607,5,42,3,19,76,7,123,9,71,0.48,53,0
941,37,42,7,10,77,8,133,2,8,0.23,43,2
192,33,42,6,1,31,8,117,8,67,0.3,59,0
783,19,25,14,10,86,1,166,10,43,0.03,38,2
1162,44,25,10,8,92,3,90,1,75,0.33,26,2
655,42,45,13,4,76,2,84,8,49,0.32,41,2
281,43,45,17,2,82,7,135,5,3,0.18,42,2
458,22,50,16,6,28,3,44,1,38,0.42,71,0
1059,50,35,17,1,84,6,163,2,77,0.19,21,2
390,45,50,20,5,92,8,16,6,47,0.34,32,2
929,40,19,15,7,68,4,84,7,25,0.18,44,2
922,30,50,10,12,64,7,46,3,78,0.07,28,2
126,42,31,12,17,13,2,77,1,98,0.08,24,2
1071,10,54,14,2,28,8,94,0,54,0.03,75,1
785,16,25,3,11,28,1,86,1,92,0.32,56,0
301,3,19,16,4,97,8,119,9,1,0.45,81,1
544,14,54,5,17,93,7,33,4,31,0.15,38,2
508,27,41,20,14,8,2,132,9,69,0.01,46,2
1197,16,46,5,9,54,1,162,5,31,0.29,63,0
195,34,24,3,16,69,1,104,7,6,0.32,44,2
539,48,2,12,2,44,4,192,10,81,0.05,33,2
700,9,3,12,17,43,3,180,7,90,0.24,49,2
296,5,46,15,1,37,4,16,3,6,0.16,89,1
1075,26,53,18,15,32,1,197,10,25,0.14,46,2
699,18,8,12,13,51,8,103,5,24,0.25,62,0
772,34,18,3,13,10,7,159,2,70,0.15,39,2
183,21,43,10,9,57,7,47,7,45,0.22,55,0
910,18,41,2,2,85,7,98,8,96,0.34,49,2
312,39,44,15,1,16,2,65,10,47,0.18,61,0
86,39,10,15,11,47,8,200,1,74,0.07,27,2
835,21,42,9,7,14,1,193,2,64,0.26,69,0
261,17,50,9,14,27,5,182,7,26,0.06,54,0
945,12,58,15,2,87,6,175,5,91,0.03,51,0
614,20,55,6,20,22,6,135,3,16,0.49,65,0
504,32,2,12,17,73,6,124,8,17,0.31,37,2
154,20,26,16,16,52,7,152,1,17,0.49,71,0
171,29,30,17,11,16,3,38,6,65,0.46,57,0
274,34,10,10,5,20,6,186,3,45,0.47,71,0
601,6,17,7,20,70,5,37,10,39,0.31,53,0
1049,42,11,19,18,19,3,173,9,93,0.45,35,2
1174,3,53,1,2,5,5,171,3,99,0.29,89,1
82,32,57,18,9,82,5,128,3,88,0.2,32,2
169,45,4,6,14,53,8,123,3,44,0.3,32,2
673,47,56,12,12,16,6,136,8,14,0.16,44,2
270,18,29,8,4,12,1,79,6,79,0.21,65,0
690,37,47,11,6,97,3,132,8,60,0.25,32,2
1038,2,6,13,16,58,4,60,9,46,0.02,55,0
1033,39,57,16,9,68,1,32,6,18,0.44,51,0
845,24,3,13,1,72,4,97,8,37,0.04,56,0
942,49,36,9,19,87,2,37,1,51,0.19,8,2
1162,24,49,5,6,77,7,133,0,6,0.02,51,0
990,34,30,5,19,65,3,88,9,41,0.08,29,2
632,38,22,17,16,68,8,186,9,39,0.24,26,2
774,22,44,4,13,74,5,190,10,4,0.3,56,0
486,47,4,19,15,21,7,42,10,32,0.02,24,2
410,2,29,11,13,19,7,181,3,53,0.25,81,1
985,48,47,2,4,66,4,148,5,85,0.24,29,2
662,12,30,18,10,69,6,178,10,83,0.4,58,0
1011,13,16,9,17,38,4,81,4,91,0.1,46,2
669,31,23,18,8,36,2,151,10,70,0.19,48,2
726,50,52,5,9,5,5,187,1,45,0.46,57,0
545,48,31,7,6,68,5,148,4,18,0.05,35,2
510,16,4,17,7,81,4,18,1,53,0.17,55,0
225,44,50,5,0,70,3,109,10,61,0.24,38,2
608,21,19,2,2,83,4,141,0,23,0.21,58,0
94,26,51,16,5,95,5,14,0,39,0.28,46,2
706,19,30,18,16,63,3,134,7,35,0.1,40,2
697,11,47,15,20,32,3,8,5,38,0.28,59,0
379,40,55,13,13,65,6,27,6,86,0.05,13,2
997,21,60,8,0,33,7,65,7,97,0.13,58,0
638,38,47,19,0,33,6,182,3,8,0.33,71,0
648,11,26,17,9,88,2,168,4,48,0.31,58,0
293,31,10,15,19,47,7,184,8,61,0.38,45,2
467,49,16,20,2,67,8,140,5,10,0.46,49,2
146,36,58,17,6,73,3,47,5,67,0.22,42,2
440,46,38,16,2,65,8,19,7,17,0.26,48,2
1174,4,36,15,9,92,1,106,4,1,0.37,81,1
169,3,28,12,2,69,1,22,7,5,0.14,79,1
297,50,42,14,11,48,8,101,6,11,0.34,46,2
1124,9,42,12,3,22,7,140,2,94,0.49,78,1
66,20,30,18,13,68,7,63,3,59,0.17,43,2
406,47,49,4,1,84,7,162,0,31,0.1,29,2
88,29,39,2,7,94,1,107,7,30,0.27,41,2
306,33,19,8,18,40,6,65,4,19,0.49,57,0
472,27,20,9,1,71,3,165,10,55,0.28,51,0
725,42,43,13,16,40,7,109,2,39,0.19,35,2
989,16,55,8,9,90,3,123,0,72,0.21,47,2
1161,34,9,13,7,32,4,89,10,11,0.46,69,0
209,35,47,7,1,34,7,177,9,78,0.02,39,2
405,49,38,18,6,61,4,90,4,2,0.11,35,2
260,48,49,16,7,89,4,106,3,71,0.16,17,2
799,30,35,12,9,33,6,136,7,60,0.05,45,2
675,14,24,11,13,5,4,194,2,3,0.13,79,1
875,19,10,7,10,29,7,150,3,64,0.28,67,0
711,17,49,16,20,94,8,122,2,94,0.4,31,2
306,47,35,16,5,69,1,139,0,10,0.47,56,0
119,49,1,14,4,80,4,22,2,2,0.11,37,2
784,4,40,20,15,84,8,9,0,69,0.28,49,2
54,34,47,9,17,36,1,133,10,56,0.4,41,2
239,7,34,5,7,24,5,95,4,51,0.04,71,0
960,37,16,8,9,87,2,172,10,98,0.02,16,2
796,25,36,16,1,81,1,184,2,11,0.25,64,0
698,37,55,4,16,5,4,59,9,61,0.14,35,2
594,35,37,2,5,40,1,58,9,19,0.38,64,0
177,20,11,19,7,72,7,178,8,43,0.19,51,0
180,33,48,12,1,12,7,64,1,44,0.3,73,0
832,50,21,1,20,34,8,130,3,46,0.28,25,2
904,12,44,19,12,10,5,68,1,11,0.13,76,1
335,48,25,11,11,13,2,6,4,57,0.18,35,2
229,9,6,6,13,57,7,31,0,12,0.18,62,0
684,25,1,10,13,49,2,190,8,32,0.29,51,0
799,11,9,9,9,34,8,42,1,22,0.22,76,1
633,31,51,3,11,32,4,189,10,64,0.3,48,2
957,7,9,10,0,50,6,163,6,43,0.22,82,1
298,20,21,20,6,61,6,50,6,41,0.15,62,0
1025,37,51,8,10,48,5,105,5,15,0.47,56,0
1137,12,44,18,0,93,8,186,3,57,0.4,66,0
857,44,32,5,20,38,4,69,10,20,0.36,38,2
171,29,39,16,18,51,7,144,0,47,0.35,47,2
194,7,50,8,11,21,1,149,10,87,0.32,70,0
901,7,1,4,8,28,4,119,5,51,0.23,81,1
1044,10,23,1,15,13,5,111,1,15,0.42,80,1
733,20,22,15,6,66,8,94,7,13,0.22,66,0
673,5,20,2,3,2,6,170,1,87,0.4,88,1
1076,12,36,6,10,71,7,123,3,52,0.31,58,0
905,26,2,20,6,57,7,104,0,91,0.11,40,2
148,37,7,18,5,46,6,55,7,15,0.13,53,0
1100,41,21,20,12,78,7,155,1,45,0.18,29,2
373,44,46,10,19,75,2,177,2,41,0.06,12,2
259,12,24,5,16,49,7,157,2,74,0.19,47,2
1016,41,35,6,17,21,8,78,2,24,0.16,41,2
129,23,1,16,4,24,7,148,8,84,0.25,66,0
1027,27,46,15,15,21,2,149,0,98,0.11,32,2
582,15,35,10,5,99,8,149,7,71,0.26,55,0
253,18,50,18,11,69,1,199,7,70,0.11,44,2
229,48,54,8,9,4,8,72,5,12,0.22,47,2
505,14,52,19,11,90,7,47,9,18,0.39,61,0
141,37,23,18,8,76,3,87,4,38,0.29,45,2
215,9,49,14,1,35,3,184,2,32,0.07,78,1
526,49,54,13,15,18,5,165,6,49,0.23,37,2
210,26,33,9,11,58,8,88,9,1,0.43,61,0
958,41,43,12,2,68,7,60,6,28,0.25,48,2
600,22,36,19,4,72,8,92,10,98,0.02,34,2
961,2,8,6,14,58,1,114,3,89,0.45,72,0
638,11,56,9,2,83,6,69,1,48,0.33,75,1
358,4,26,10,7,54,2,185,1,1,0.11,74,0
291,38,15,17,14,1,1,183,5,16,0.49,66,0
290,31,5,8,12,11,2,31,5,48,0.44,59,0
803,50,53,5,20,86,3,22,8,73,0.0,5,2
356,29,23,7,20,95,3,110,9,88,0.22,15,2
197,7,9,4,18,93,7,94,6,41,0.4,54,0
587,42,6,8,17,76,5,181,0,85,0.44,21,2
1080,39,33,7,12,37,1,66,7,50,0.06,35,2
165,34,57,1,11,40,3,104,9,54,0.18,47,2
373,49,31,3,0,75,2,8,4,28,0.02,27,2
835,33,19,17,13,54,7,26,10,69,0.27,35,2
588,6,20,3,16,26,3,142,5,51,0.29,75,1
155,20,45,14,7,7,4,27,6,15,0.23,82,1
132,20,43,6,3,1,3,184,0,21,0.25,83,1
1091,34,51,9,5,47,3,196,4,94,0.44,45,2
706,28,18,17,2,33,2,132,7,66,0.18,60,0
1180,11,24,6,8,98,2,151,10,93,0.06,42,2
25,3,55,1,7,5,8,98,6,20,0.09,82,1
1152,46,48,14,7,41,4,111,5,35,0.41,53,0
783,8,33,2,5,28,1,107,1,60,0.43,84,1
690,6,36,15,0,47,4,79,9,39,0.37,87,1
970,24,38,16,6,93,4,43,0,53,0.01,40,2
729,41,54,1,10,0,7,193,4,14,0.1,50,0
879,32,4,5,8,11,1,64,8,53,0.35,62,0
958,48,6,19,3,64,3,168,6,10,0.3,42,2
910,43,9,8,9,33,6,105,5,41,0.23,41,2
172,13,9,19,3,19,2,47,7,60,0.16,70,0
1117,23,50,7,14,39,8,72,1,12,0.08,58,0
643,46,45,20,1,27,6,42,1,92,0.12,37,2
831,33,4,10,8,22,1,108,7,72,0.37,53,0
213,30,7,5,3,1,1,61,2,26,0.41,80,1
192,38,38,9,2,2,2,55,10,57,0.4,63,0
699,8,3,15,1,21,7,190,6,64,0.01,78,1
893,12,23,7,5,35,5,119,2,5,0.31,89,1
523,42,19,16,13,70,8,20,1,36,0.19,30,2
428,42,57,17,7,80,1,102,5,62,0.27,34,2
724,37,33,11,12,34,3,11,5,77,0.11,31,2
139,31,34,12,18,29,3,30,3,85,0.12,34,2
134,49,15,19,12,45,3,50,3,76,0.16,21,2
77,46,45,12,18,72,3,149,3,64,0.27,14,2
1024,3,6,2,7,77,4,10,8,62,0.0,61,0
432,9,22,6,10,7,1,42,9,91,0.46,74,0
1097,24,5,12,12,75,2,91,4,42,0.07,36,2
914,41,32,11,5,90,6,62,10,76,0.41,36,2
648,47,45,10,4,22,1,184,9,51,0.43,58,0
86,12,39,11,19,28,2,132,2,43,0.37,63,0
730,21,11,3,20,93,6,119,0,34,0.1,27,2
737,17,51,4,0,6,7,117,6,22,0.44,98,1
795,23,35,13,3,61,4,46,7,10,0.4,69,0
623,2,21,9,3,9,6,48,6,21,0.37,100,1
210,22,39,20,15,90,1,115,10,22,0.3,48,2
341,4,7,11,6,24,7,183,8,93,0.46,86,1
563,43,19,10,7,12,1,105,9,71,0.42,49,2
131,24,1,14,2,37,8,56,1,4,0.1,74,0
617,6,31,4,9,100,7,125,7,85,0.13,52,0
1134,25,12,12,12,47,3,119,0,34,0.22,52,0
483,18,37,2,4,96,2,26,10,45,0.4,63,0
485,36,4,13,16,53,8,151,3,61,0.15,29,2
91,33,37,17,18,86,3,35,7,23,0.47,38,2
453,13,9,2,13,10,7,56,10,19,0.42,82,1
674,47,59,3,2,49,7,146,5,36,0.26,41,2
1090,27,8,14,4,18,2,32,9,100,0.05,47,2
1116,23,57,14,8,49,8,151,9,61,0.02,45,2
845,10,40,20,12,4,7,89,3,7,0.37,88,1
782,2,22,10,9,35,8,183,10,13,0.49,93,1
295,20,48,15,10,34,7,159,10,12,0.09,60,0
853,48,32,17,11,7,3,21,4,91,0.25,30,2
1093,37,2,6,6,25,1,68,0,59,0.03,42,2
427,18,24,15,16,50,2,179,0,31,0.19,57,0
933,12,56,16,18,70,6,93,2,34,0.37,54,0
603,2,25,2,5,73,4,61,10,29,0.34,80,1
858,33,2,1,15,16,3,158,0,29,0.13,46,2
583,28,58,13,11,58,5,60,7,39,0.34,56,0
833,38,7,1,16,84,6,148,10,77,0.3,21,2
241,31,5,11,8,81,6,75,4,84,0.36,44,2
631,13,10,17,7,7,7,174,5,88,0.07,58,0
1038,19,17,14,12,49,1,154,9,25,0.17,56,0
1114,41,51,16,11,64,5,48,10,72,0.09,19,2
984,9,48,9,17,97,3,179,5,84,0.04,32,2
477,48,56,10,13,100,6,100,4,75,0.15,5,2
983,4,56,19,18,79,2,125,3,65,0.06,49,2
801,34,20,14,1,19,3,56,5,53,0.49,74,0
313,21,56,6,2,62,6,166,2,41,0.32,62,0
945,18,14,6,18,97,3,130,1,17,0.31,51,0
899,26,28,16,12,0,1,141,3,94,0.19,46,2
679,49,54,17,6,2,1,165,3,29,0.35,56,0
659,9,7,13,16,75,5,47,1,6,0.15,57,0
953,47,34,20,16,43,7,180,2,44,0.5,40,2
755,49,13,6,12,2,4,62,2,28,0.37,54,0
1053,11,8,12,20,4,7,168,4,99,0.27,51,0
118,43,7,1,1,88,2,111,7,49,0.06,29,2
991,45,10,7,20,1,5,112,10,13,0.33,44,2
300,27,54,4,16,92,2,77,1,14,0.25,44,2
429,50,17,17,6,45,7,80,2,6,0.27,44,2
1004,22,16,1,0,85,2,33,9,86,0.25,47,2
1067,5,47,4,8,82,4,121,4,34,0.23,63,0
377,3,55,10,11,86,6,114,1,13,0.43,72,0
39,9,43,6,10,45,8,164,4,94,0.05,51,0
394,8,26,13,14,34,7,181,7,54,0.32,66,0
251,9,45,2,5,13,7,156,7,73,0.34,78,1
797,50,23,20,0,87,3,128,7,15,0.44,49,2
114,5,17,11,0,90,4,176,5,67,0.26,74,0
215,28,43,8,15,44,7,43,8,79,0.03,36,2
341,33,55,16,15,21,2,197,7,42,0.12,42,2
123,33,15,18,20,48,7,65,1,59,0.22,35,2
937,6,55,16,14,40,2,132,10,3,0.05,70,0
93,36,36,1,2,77,5,135,8,27,0.33,55,0
718,24,53,2,7,58,6,148,9,77,0.24,54,0
764,46,29,4,3,97,4,5,5,46,0.41,36,2
1141,34,24,4,1,21,8,40,6,14,0.13,63,0
404,8,60,13,6,58,4,188,5,14,0.38,78,1
272,50,58,15,14,84,3,132,0,68,0.37,21,2
906,38,31,17,5,88,3,192,2,14,0.19,46,2
679,33,57,13,13,77,4,75,6,44,0.49,48,2
293,9,27,20,16,38,6,187,8,81,0.11,49,2
615,44,23,5,20,22,6,186,1,98,0.18,20,2
1188,43,46,14,17,36,7,8,8,14,0.01,26,2
128,43,4,7,8,96,3,78,10,33,0.07,18,2
624,14,49,18,1,45,8,31,9,87,0.37,70,0
1169,25,16,17,9,88,1,102,6,54,0.48,58,0
660,36,4,1,8,25,8,62,10,91,0.35,47,2
1139,48,39,7,6,37,8,50,10,10,0.09,38,2
1072,8,25,2,13,35,5,38,2,75,0.42,65,0
696,30,46,5,1,19,6,157,0,100,0.47,69,0
636,32,51,19,17,45,2,186,5,68,0.11,27,2
1086,5,51,17,5,53,7,28,5,29,0.44,93,1
699,22,24,10,6,96,8,148,10,2,0.06,51,0
932,16,58,20,19,31,1,179,5,49,0.46,59,0
810,17,35,10,0,66,6,136,8,58,0.24,65,0
414,21,33,3,3,21,1,165,1,27,0.34,78,1
888,7,14,18,13,82,2,196,10,20,0.01,54,0
97,6,5,2,5,32,2,152,3,34,0.2,83,1
848,28,21,1,12,86,2,141,0,83,0.36,32,2
113,45,55,3,11,64,2,79,10,39,0.3,33,2
916,25,26,1,15,20,4,39,6,70,0.15,51,0
315,20,44,12,0,70,3,36,0,1,0.29,76,1
1120,36,6,10,6,95,6,59,6,83,0.43,34,2
349,12,15,20,8,24,2,51,10,73,0.43,79,1
964,42,36,3,9,85,2,69,1,26,0.36,41,2
697,23,9,8,3,36,2,54,5,63,0.23,67,0
646,45,38,5,18,72,6,85,6,22,0.0,13,2
473,46,48,14,8,46,3,178,5,62,0.23,34,2
645,32,36,4,5,82,2,76,2,69,0.1,39,2
176,47,5,1,16,80,1,153,9,52,0.38,21,2
95,36,17,18,17,60,3,98,6,29,0.45,48,2
615,9,30,17,16,11,7,98,8,2,0.33,86,1
359,49,33,5,14,20,3,149,9,85,0.44,31,2
1010,23,3,8,15,29,2,72,5,30,0.02,46,2
1080,24,25,16,14,5,1,171,5,14,0.35,74,0
580,48,17,19,17,72,3,101,10,49,0.18,20,2
179,34,17,13,7,66,7,95,5,63,0.4,51,0
33,33,57,5,14,21,4,24,8,83,0.14,34,2
402,11,24,20,3,84,4,111,5,93,0.06,54,0
1000,31,14,19,5,82,7,10,3,6,0.06,50,0
349,9,41,17,1,73,3,19,2,34,0.46,87,1
850,39,37,1,9,10,4,119,9,61,0.43,53,0
469,27,39,5,18,98,3,164,10,66,0.13,26,2
721,30,39,19,2,29,7,103,2,14,0.01,63,0
1052,44,27,5,19,12,3,126,9,77,0.02,22,2
1050,49,8,3,15,84,3,159,8,1,0.45,39,2
903,34,27,12,1,89,7,63,7,99,0.19,37,2
1199,7,28,5,8,61,4,26,4,77,0.44,72,0
547,13,1,1,18,66,2,138,0,49,0.33,53,0
857,24,7,5,13,83,5,71,8,55,0.28,46,2
584,44,26,7,13,70,8,50,5,72,0.28,23,2
648,37,23,13,4,84,2,196,3,58,0.39,41,2
225,14,33,13,10,70,1,46,6,82,0.0,37,2
317,31,60,20,13,11,2,72,3,48,0.04,40,2
807,26,40,17,9,91,1,49,10,64,0.22,37,2
1081,19,13,2,19,65,4,162,2,87,0.02,25,2
20,11,6,9,12,45,7,108,9,26,0.26,65,0
204,36,19,18,18,44,6,75,3,78,0.48,40,2
847,37,1,9,5,52,2,148,1,65,0.15,36,2
1071,17,57,18,18,32,8,101,9,62,0.38,57,0
959,44,30,19,0,61,2,71,1,49,0.32,46,2
490,21,27,12,16,68,1,184,4,32,0.14,45,2
720,5,36,6,15,40,6,60,9,35,0.09,69,0
409,32,48,7,7,94,4,72,3,30,0.1,35,2
749,10,50,4,3,10,8,162,0,98,0.43,77,1
1007,24,40,11,15,73,5,130,2,98,0.46,39,2
834,15,49,19,4,6,7,127,8,5,0.25,90,1
377,30,8,17,14,40,1,8,10,27,0.19,44,2
686,24,40,9,5,70,5,65,4,61,0.48,61,0
769,12,32,14,6,53,6,98,6,36,0.23,74,0
288,37,44,8,3,92,5,65,8,56,0.43,44,2
318,48,10,16,0,22,7,132,2,81,0.26,45,2
1016,20,17,18,18,6,7,30,2,8,0.11,60,0
995,41,7,15,10,33,6,97,8,72,0.47,46,2
724,2,27,4,11,86,4,152,9,84,0.32,56,0
602,23,21,17,15,99,8,25,6,79,0.14,31,2
316,11,41,11,13,80,7,23,1,21,0.17,57,0
668,42,19,9,19,82,7,74,7,100,0.43,16,2
1086,29,27,6,5,2,3,191,3,85,0.13,51,0
451,11,26,4,3,8,8,145,0,4,0.39,100,1
190,7,17,20,4,10,7,84,3,32,0.37,96,1
278,9,34,6,0,4,6,88,7,60,0.49,100,1
577,36,29,5,17,22,8,166,10,73,0.22,40,2
1113,20,59,12,15,69,4,27,7,40,0.18,44,2
338,20,1,1,16,97,3,93,4,61,0.27,39,2
997,20,1,14,9,76,4,6,8,48,0.09,49,2
915,26,16,6,20,49,7,61,4,11,0.21,44,2
1078,49,52,20,8,36,5,110,3,9,0.09,38,2
246,41,30,20,14,34,8,53,5,3,0.08,43,2
65,12,7,10,8,16,8,191,0,30,0.05,66,0
1030,14,22,14,9,100,8,100,7,90,0.4,49,2
184,49,10,2,8,99,7,23,8,61,0.09,11,2
801,1,8,8,12,98,8,68,0,26,0.23,60,0
